id;ano;cid;qtde
1105;2016;M72;10
1106;2016;M73;4
1107;2016;M73;1
1108;2016;M73;2
1109;2016;M75;1496
1110;2016;M75;3142
1111;2016;M75;390
1112;2016;M76;67
1113;2016;M76;29
1114;2016;M76;28
1115;2016;M77;230
1116;2016;M77;469
1117;2016;M77;56
1118;2016;M79;1870
1119;2016;M79;74
1120;2016;M79;709
1121;2016;M80;1
1122;2016;M80;2
1123;2016;M81;1
1124;2016;M82;1
1125;2016;M82;3
1126;2016;M83;6
1127;2016;M83;1
1128;2016;M84;43
1129;2016;M84;6
1130;2016;M84;18
1131;2016;M85;5
1132;2016;M85;1
1133;2016;M86;13
1134;2016;M86;2
1135;2016;M86;1
1136;2016;M87;10
1137;2016;M87;1
1138;2016;M87;1
1139;2016;M88;1
1140;2016;M89;18
1141;2016;M89;3
1142;2016;M89;7
1143;2016;M90;4
1144;2016;M91;3
1145;2016;M91;1
1146;2016;M92;3
1147;2016;M92;2
1148;2016;M93;78
1149;2016;M93;5
1150;2016;M93;36
1151;2016;M94;9
1152;2016;M94;6
1153;2016;M94;5
1154;2016;M95;7
1155;2016;M95;2
1156;2016;M95;5
1157;2016;M96;124
1158;2016;M96;14
1159;2016;M96;56
1160;2016;M99;269
1161;2016;M99;3
1162;2016;M99;124
1163;2016;N00;4
1164;2016;N01;3
1165;2016;N01;1
1166;2016;N04;2
1167;2016;N04;1
1168;2016;N10;1
1169;2016;N10;1
1170;2016;N11;1
1171;2016;N13;6
1172;2016;N13;1
1173;2016;N13;2
1174;2016;N14;1
1175;2016;N15;2
1176;2016;N15;1
1177;2016;N17;1
1178;2016;N17;1
1179;2016;N17;1
1180;2016;N18;2
1181;2016;N18;1
1182;2016;N20;2
1183;2016;N20;2
1184;2016;N20;1
1185;2016;N21;2
1186;2016;N25;2
1187;2016;N28;1
1188;2016;N30;4
1189;2016;N30;1
1190;2016;N30;2
1191;2016;N33;1
1192;2016;N33;1
1193;2016;N34;1
1194;2016;N35;4
1195;2016;N36;2
1196;2016;N36;1
1197;2016;N39;4
1198;2016;N39;1
1199;2016;N39;2
1200;2016;N41;1
1201;2016;N43;3
1202;2016;N43;1
1203;2016;N43;1
1204;2016;N44;4
1205;2016;N44;1
1206;2016;N45;13
1207;2016;N45;5
1208;2016;N47;1
1209;2016;N48;6
1210;2016;N48;1
1211;2016;N49;7
1212;2016;N49;2
1213;2016;N50;8
1214;2016;N50;5
1215;2016;N51;11
1216;2016;N51;1
1217;2016;N60;1
1218;2016;N60;1
1219;2016;N61;1
1220;2016;N63;1
1221;2016;N64;2
1222;2016;N73;1
1223;2016;N73;1
1224;2016;N73;1
1225;2016;N75;1
1226;2016;N75;1
1227;2016;N75;1
1228;2016;N76;1
1229;2016;N77;1
1230;2016;N81;3
1231;2016;N83;3
1232;2016;N85;1
1233;2016;N85;1
1234;2016;N87;1
1235;2016;N87;1
1236;2016;N88;1
1237;2016;N93;3
1238;2016;N94;1
1239;2016;N94;1
1240;2016;N95;1
1241;2016;N95;1
1242;2016;N96;2
1243;2016;N96;1
1244;2016;N99;1
1245;2016;O00;1
1246;2016;O02;3
1247;2016;O02;1
1248;2016;O03;4
1249;2016;O03;2
1250;2016;O03;1
1251;2016;O04;3
1252;2016;O05;1
1253;2016;O06;3
1254;2016;O06;1
1255;2016;O06;1
1256;2016;O14;1
1257;2016;O20;13
1258;2016;O20;2
1259;2016;O20;13
1260;2016;O26;3
1261;2016;O26;1
1262;2016;O26;2
1263;2016;O28;1
1264;2016;O30;1
1265;2016;O30;2
1266;2016;O34;1
1267;2016;O35;6
1268;2016;O35;1
1269;2016;O36;1
1270;2016;O42;1
1271;2016;O42;2
1272;2016;O45;2
1273;2016;O45;1
1274;2016;O47;4
1275;2016;O47;1
1276;2016;O47;2
1277;2016;O60;1
1278;2016;O62;3
1279;2016;O71;1
1280;2016;O71;3
1281;2016;O80;1
1282;2016;O80;1
1283;2016;O82;1
1284;2016;O95;1
1285;2016;O98;1
1286;2016;O99;3
1287;2016;P07;2
1288;2016;P07;1
1289;2016;P11;1
1290;2016;P11;1
1291;2016;P12;1
1292;2016;P12;2
1293;2016;P13;6
1294;2016;P13;4
1295;2016;P14;1
1296;2016;P14;1
1297;2016;P15;7
1298;2016;P15;2
1299;2016;P58;1
1300;2016;P61;2
1301;2016;P95;2
1302;2016;Q00;1
1303;2016;Q01;1
1304;2016;Q10;1
1305;2016;Q12;1
1306;2016;Q23;1
1307;2016;Q28;1
1308;2016;Q30;1
1309;2016;Q33;1
1310;2016;Q34;1
1311;2016;Q36;1
1312;2016;Q44;1
1313;2016;Q50;1
1314;2016;Q55;1
1315;2016;Q65;12
1316;2016;Q65;2
1317;2016;Q67;4
1318;2016;Q68;2
1319;2016;Q69;71
1320;2016;Q69;4
1321;2016;Q70;19
1322;2016;Q70;1
1323;2016;Q71;4
1324;2016;Q72;1
1325;2016;Q75;2
1326;2016;Q75;1
1327;2016;Q76;9
1328;2016;Q76;1
1329;2016;Q78;3
1330;2016;Q81;1
1331;2016;Q84;1
1332;2016;Q98;1
1333;2016;R00;4
1334;2016;R01;1
1335;2016;R02;4
1336;2016;R02;1
1337;2016;R03;4
1338;2016;R04;13
1339;2016;R04;5
1340;2016;R05;9
1341;2016;R06;44
1342;2016;R06;3
1343;2016;R06;1
1344;2016;R07;166
1345;2016;R07;2
1346;2016;R07;62
1347;2016;R09;31
1348;2016;R09;1
1349;2016;R09;3
1350;2016;R10;251
1351;2016;R10;8
1352;2016;R10;137
1353;2016;R11;30
